index,UrlLocal,UrlYoutube,gameAwayTeam,gameDate,gameHomeTeam,gameScore
39,england_epl/2016-2017/2016-10-29 - 17-00 Tottenham 1 - 1 Leicester/,,Leicester,29/10/2016 - 17:00,Tottenham,1 - 1
40,england_epl/2016-2017/2016-11-06 - 17-15 Liverpool 6 - 1 Watford/,,Watford,06/11/2016 - 17:15,Liverpool,6 - 1
41,england_epl/2016-2017/2016-11-06 - 19-30 Leicester 1 - 2 West Brom/,,West Brom,06/11/2016 - 19:30,Leicester,1 - 2
42,england_epl/2016-2017/2016-11-19 - 18-00 Southampton 0 - 0 Liverpool/,,Liverpool,19/11/2016 - 18:00,Southampton,0 - 0
43,england_epl/2016-2017/2016-11-26 - 18-00 Liverpool 2 - 0 Sunderland/,,Sunderland,26/11/2016 - 18:00,Liverpool,2 - 0
44,england_epl/2016-2017/2016-12-10 - 20-30 Leicester 4 - 2 Manchester City/,,Manchester City,10/12/2016 - 20:30,Leicester,4 - 2
45,england_epl/2016-2017/2016-12-11 - 19-30 Liverpool 2 - 2 West Ham/,,West Ham,11/12/2016 - 19:30,Liverpool,2 - 2
46,england_epl/2016-2017/2016-12-14 - 22-45 Middlesbrough 0 - 3 Liverpool/,,Liverpool,14/12/2016 - 22:45,Middlesbrough,0 - 3
47,england_epl/2016-2017/2016-12-19 - 23-00 Everton 0 - 1 Liverpool/,,Liverpool,19/12/2016 - 23:00,Everton,0 - 1
48,england_epl/2016-2017/2016-12-27 - 20-15 Liverpool 4 - 1 Stoke City/,,Stoke City,27/12/2016 - 20:15,Liverpool,4 - 1
49,england_epl/2016-2017/2016-12-31 - 20-30 Liverpool 1 - 0 Manchester City/,,Manchester City,31/12/2016 - 20:30,Liverpool,1 - 0
50,england_epl/2016-2017/2017-01-02 - 15-30 Middlesbrough 0 - 0 Leicester/,,Leicester,02/01/2017 - 15:30,Middlesbrough,0 - 0
51,england_epl/2016-2017/2017-01-02 - 18-00 Sunderland 2 - 2 Liverpool/,,Liverpool,02/01/2017 - 18:00,Sunderland,2 - 2
52,england_epl/2016-2017/2017-01-14 - 20-30 Leicester 0 - 3 Chelsea/,,Chelsea,14/01/2017 - 20:30,Leicester,0 - 3
53,england_epl/2016-2017/2017-01-15 - 19-00 Manchester United 1 - 1 Liverpool/,,Liverpool,15/01/2017 - 19:00,Manchester United,1 - 1
54,england_epl/2016-2017/2017-01-31 - 23-00 Liverpool 1 - 1 Chelsea/,,Chelsea,31/01/2017 - 23:00,Liverpool,1 - 1
55,england_epl/2016-2017/2017-02-27 - 23-00 Leicester 3 - 1 Liverpool/,,Liverpool,27/02/2017 - 23:00,Leicester,3 - 1
56,england_epl/2016-2017/2017-04-26 - 21-45 Arsenal 1 - 0 Leicester/,,Leicester,26/04/2017 - 21:45,Arsenal,1 - 0
57,england_epl/2016-2017/2017-05-13 - 14-30 Manchester City 2 - 1 Leicester/,,Leicester,13/05/2017 - 14:30,Manchester City,2 - 1
58,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Arsenal 3 - 3 Anderlecht/,,Anderlecht,04/11/2014 - 22:45,Arsenal,3 - 3
59,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Dortmund 4 - 1 Galatasaray/,,Galatasaray,04/11/2014 - 22:45,Dortmund,4 - 1
60,europe_uefa-champions-league/2014-2015/2014-11-05 - 22-45 Bayern Munich 2 - 0 AS Roma/,,AS Roma,05/11/2014 - 22:45,Bayern Munich,2 - 0
61,europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Benfica 0 - 0 Bayer Leverkusen/,,Bayer Leverkusen,09/12/2014 - 22:45,Benfica,0 - 0
62,europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Dortmund 1 - 1 Anderlecht/,,Anderlecht,09/12/2014 - 22:45,Dortmund,1 - 1
63,europe_uefa-champions-league/2014-2015/2014-12-09 - 22-45 Liverpool 1 - 1 Basel/,,Basel,09/12/2014 - 22:45,Liverpool,1 - 1
64,europe_uefa-champions-league/2014-2015/2014-12-10 - 22-45 Barcelona 3 - 1 Paris SG/,,Paris SG,10/12/2014 - 22:45,Barcelona,3 - 1
65,europe_uefa-champions-league/2014-2015/2014-12-10 - 22-45 Bayern Munich 3 - 0 CSKA Moscow/,,CSKA Moscow,10/12/2014 - 22:45,Bayern Munich,3 - 0
66,europe_uefa-champions-league/2014-2015/2015-02-17 - 22-45 Paris SG 1 - 1 Chelsea/,,Chelsea,17/02/2015 - 22:45,Paris SG,1 - 1
67,europe_uefa-champions-league/2014-2015/2015-02-17 - 22-45 Shakhtar Donetsk 0 - 0 Bayern Munich/,,Bayern Munich,17/02/2015 - 22:45,Shakhtar Donetsk,0 - 0
68,europe_uefa-champions-league/2014-2015/2015-02-18 - 22-45 Schalke 0 - 2 Real Madrid/,,Real Madrid,18/02/2015 - 22:45,Schalke,0 - 2
69,europe_uefa-champions-league/2014-2015/2015-02-25 - 22-45 Arsenal 1 - 3 Monaco/,,Monaco,25/02/2015 - 22:45,Arsenal,1 - 3
70,europe_uefa-champions-league/2014-2015/2015-02-25 - 22-45 Bayer Leverkusen 1 - 0 Atl. Madrid/,,Atl. Madrid,25/02/2015 - 22:45,Bayer Leverkusen,1 - 0
71,europe_uefa-champions-league/2014-2015/2015-03-10 - 22-45 FC Porto 4 - 0 Basel/,,Basel,10/03/2015 - 22:45,FC Porto,4 - 0
72,europe_uefa-champions-league/2014-2015/2015-03-18 - 22-45 Barcelona 1 - 0 Manchester City/,,Manchester City,18/03/2015 - 22:45,Barcelona,1 - 0
73,europe_uefa-champions-league/2014-2015/2015-03-18 - 22-45 Dortmund 0 - 3 Juventus/,,Juventus,18/03/2015 - 22:45,Dortmund,0 - 3
74,europe_uefa-champions-league/2014-2015/2015-04-14 - 21-45 Atl. Madrid 0 - 0 Real Madrid/,,Real Madrid,14/04/2015 - 21:45,Atl. Madrid,0 - 0
75,europe_uefa-champions-league/2014-2015/2015-04-14 - 21-45 Juventus 1 - 0 Monaco/,,Monaco,14/04/2015 - 21:45,Juventus,1 - 0
76,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Bayern Munich 6 - 1 FC Porto/,,FC Porto,21/04/2015 - 21:45,Bayern Munich,6 - 1
77,europe_uefa-champions-league/2014-2015/2015-04-22 - 21-45 Monaco 0 - 0 Juventus/,,Juventus,22/04/2015 - 21:45,Monaco,0 - 0
78,europe_uefa-champions-league/2014-2015/2015-05-06 - 21-45 Barcelona 3 - 0 Bayern Munich/,,Bayern Munich,06/05/2015 - 21:45,Barcelona,3 - 0
79,europe_uefa-champions-league/2014-2015/2015-05-12 - 21-45 Bayern Munich 3 - 2 Barcelona/,,Barcelona,12/05/2015 - 21:45,Bayern Munich,3 - 2
80,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid/,,Atl. Madrid,15/09/2015 - 21:45,Galatasaray,0 - 2
81,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Manchester City 1 - 2 Juventus/,,Juventus,15/09/2015 - 21:45,Manchester City,1 - 2
82,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Paris SG 2 - 0 Malmo FF/,,Malmo FF,15/09/2015 - 21:45,Paris SG,2 - 0
83,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Real Madrid 4 - 0 Shakhtar Donetsk/,,Shakhtar Donetsk,15/09/2015 - 21:45,Real Madrid,4 - 0
84,europe_uefa-champions-league/2015-2016/2015-09-15 - 21-45 Sevilla 3 - 0 B. Monchengladbach/,,B. Monchengladbach,15/09/2015 - 21:45,Sevilla,3 - 0
85,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 AS Roma 1 - 1 Barcelona/,,Barcelona,16/09/2015 - 21:45,AS Roma,1 - 1
86,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Bayer Leverkusen 4 - 1 BATE/,,BATE,16/09/2015 - 21:45,Bayer Leverkusen,4 - 1
87,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 Gent 1 - 1 Lyon/,,Lyon,16/09/2015 - 21:45,Gent,1 - 1
88,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Arsenal 2 - 3 Olympiakos Piraeus/,,Olympiakos Piraeus,29/09/2015 - 21:45,Arsenal,2 - 3
89,europe_uefa-champions-league/2015-2016/2015-09-29 - 21-45 Lyon 0 - 1 Valencia/,,Valencia,29/09/2015 - 21:45,Lyon,0 - 1
90,europe_uefa-champions-league/2015-2016/2015-10-20 - 21-45 Arsenal 2 - 0 Bayern Munich/,,Bayern Munich,20/10/2015 - 21:45,Arsenal,2 - 0
91,europe_uefa-champions-league/2015-2016/2015-11-03 - 18-00 FC Astana 0 - 0 Atl. Madrid/,,Atl. Madrid,03/11/2015 - 18:00,FC Astana,0 - 0
92,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 B. Monchengladbach 1 - 1 Juventus/,,Juventus,03/11/2015 - 22:45,B. Monchengladbach,1 - 1
93,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Manchester United 1 - 0 CSKA Moscow/,,CSKA Moscow,03/11/2015 - 22:45,Manchester United,1 - 0
94,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 PSV 2 - 0 Wolfsburg/,,Wolfsburg,03/11/2015 - 22:45,PSV,2 - 0
95,europe_uefa-champions-league/2015-2016/2015-11-04 - 22-45 Bayern Munich 5 - 1 Arsenal/,,Arsenal,04/11/2015 - 22:45,Bayern Munich,5 - 1
96,europe_uefa-champions-league/2015-2016/2015-11-04 - 22-45 Gent 1 - 0 Valencia/,,Valencia,04/11/2015 - 22:45,Gent,1 - 0
97,europe_uefa-champions-league/2015-2016/2015-11-04 - 22-45 Lyon 0 - 2 Zenit Petersburg/,,Zenit Petersburg,04/11/2015 - 22:45,Lyon,0 - 2
98,europe_uefa-champions-league/2015-2016/2015-11-04 - 22-45 Maccabi Tel Aviv 1 - 3 FC Porto/,,FC Porto,04/11/2015 - 22:45,Maccabi Tel Aviv,1 - 3
99,europe_uefa-champions-league/2015-2016/2015-11-24 - 20-00 Zenit Petersburg 2 - 0 Valencia/,,Valencia,24/11/2015 - 20:00,Zenit Petersburg,2 - 0
100,europe_uefa-champions-league/2015-2016/2015-11-24 - 22-45 Barcelona 6 - 1 AS Roma/,,AS Roma,24/11/2015 - 22:45,Barcelona,6 - 1
101,europe_uefa-champions-league/2015-2016/2015-11-24 - 22-45 Bayern Munich 4 - 0 Olympiakos Piraeus/,,Olympiakos Piraeus,24/11/2015 - 22:45,Bayern Munich,4 - 0
102,europe_uefa-champions-league/2015-2016/2015-11-24 - 22-45 FC Porto 0 - 2 Dyn. Kiev/,,Dyn. Kiev,24/11/2015 - 22:45,FC Porto,0 - 2
103,europe_uefa-champions-league/2015-2016/2015-11-24 - 22-45 Maccabi Tel Aviv 0 - 4 Chelsea/,,Chelsea,24/11/2015 - 22:45,Maccabi Tel Aviv,0 - 4
104,europe_uefa-champions-league/2015-2016/2015-11-25 - 20-00 CSKA Moscow 0 - 2 Wolfsburg/,,Wolfsburg,25/11/2015 - 20:00,CSKA Moscow,0 - 2
105,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Atl. Madrid 2 - 0 Galatasaray/,,Galatasaray,25/11/2015 - 22:45,Atl. Madrid,2 - 0
106,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 B. Monchengladbach 4 - 2 Sevilla/,,Sevilla,25/11/2015 - 22:45,B. Monchengladbach,4 - 2
107,europe_uefa-champions-league/2015-2016/2015-11-25 - 22-45 Malmo FF 0 - 5 Paris SG/,,Paris SG,25/11/2015 - 22:45,Malmo FF,0 - 5
108,europe_uefa-champions-league/2015-2016/2015-12-09 - 22-45 D. Zagreb 0 - 2 Bayern Munich/,,Bayern Munich,09/12/2015 - 22:45,D. Zagreb,0 - 2
109,europe_uefa-champions-league/2016-2017/2016-09-13 - 21-45 Barcelona 7 - 0 Celtic/,,Celtic,13/09/2016 - 21:45,Barcelona,7 - 0
110,europe_uefa-champions-league/2016-2017/2016-09-13 - 21-45 Dyn. Kiev 1 - 2 Napoli/,,Napoli,13/09/2016 - 21:45,Dyn. Kiev,1 - 2
111,europe_uefa-champions-league/2016-2017/2016-09-28 - 21-45 Ludogorets 1 - 3 Paris SG/,,Paris SG,28/09/2016 - 21:45,Ludogorets,1 - 3
112,europe_uefa-champions-league/2016-2017/2016-10-19 - 21-45 Barcelona 4 - 0 Manchester City/,,Manchester City,19/10/2016 - 21:45,Barcelona,4 - 0
113,europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Celtic 0 - 2 Barcelona/,,Barcelona,23/11/2016 - 22:45,Celtic,0 - 2
114,europe_uefa-champions-league/2016-2017/2016-11-23 - 22-45 Napoli 0 - 0 Dyn. Kiev/,,Dyn. Kiev,23/11/2016 - 22:45,Napoli,0 - 0
115,europe_uefa-champions-league/2016-2017/2016-12-06 - 22-45 Benfica 1 - 2 Napoli/,,Napoli,06/12/2016 - 22:45,Benfica,1 - 2
116,europe_uefa-champions-league/2016-2017/2017-02-14 - 22-45 Paris SG 4 - 0 Barcelona/,,Barcelona,14/02/2017 - 22:45,Paris SG,4 - 0
117,europe_uefa-champions-league/2016-2017/2017-02-15 - 22-45 Real Madrid 3 - 1 Napoli/,,Napoli,15/02/2017 - 22:45,Real Madrid,3 - 1
118,europe_uefa-champions-league/2016-2017/2017-03-07 - 22-45 Napoli 1 - 3 Real Madrid/,,Real Madrid,07/03/2017 - 22:45,Napoli,1 - 3
119,europe_uefa-champions-league/2016-2017/2017-04-18 - 21-45 Real Madrid 4 - 2 Bayern Munich/,,Bayern Munich,18/04/2017 - 21:45,Real Madrid,4 - 2
120,france_ligue-1/2014-2015/2015-04-05 - 22-00 Marseille 2 - 3 Paris SG/,,Paris SG,05/04/2015 - 22:00,Marseille,2 - 3
121,france_ligue-1/2015-2016/2015-09-26 - 18-30 Nantes 1 - 4 Paris SG/,,Paris SG,26/09/2015 - 18:30,Nantes,1 - 4
122,france_ligue-1/2015-2016/2015-11-07 - 19-00 Paris SG 5 - 0 Toulouse/,,Toulouse,07/11/2015 - 19:00,Paris SG,5 - 0
123,france_ligue-1/2016-2017/2016-08-12 - 21-00 Bastia 0 - 1 Paris SG/,,Paris SG,12/08/2016 - 21:00,Bastia,0 - 1
124,france_ligue-1/2016-2017/2016-09-16 - 21-45 Caen 0 - 6 Paris SG/,,Paris SG,16/09/2016 - 21:45,Caen,0 - 6
125,france_ligue-1/2016-2017/2016-09-23 - 21-45 Toulouse 2 - 0 Paris SG/,,Paris SG,23/09/2016 - 21:45,Toulouse,2 - 0
126,france_ligue-1/2016-2017/2016-10-01 - 18-00 Paris SG 2 - 0 Bordeaux/,,Bordeaux,01/10/2016 - 18:00,Paris SG,2 - 0
127,france_ligue-1/2016-2017/2016-10-15 - 18-00 Nancy 1 - 2 Paris SG/,,Paris SG,15/10/2016 - 18:00,Nancy,1 - 2
128,france_ligue-1/2016-2017/2016-10-28 - 21-45 Lille 0 - 1 Paris SG/,,Paris SG,28/10/2016 - 21:45,Lille,0 - 1
129,france_ligue-1/2016-2017/2016-11-06 - 22-45 Paris SG 4 - 0 Rennes/,,Rennes,06/11/2016 - 22:45,Paris SG,4 - 0
130,france_ligue-1/2016-2017/2016-11-19 - 19-00 Paris SG 2 - 0 Nantes/,,Nantes,19/11/2016 - 19:00,Paris SG,2 - 0
131,france_ligue-1/2016-2017/2016-11-27 - 22-45 Lyon 1 - 2 Paris SG/,,Paris SG,27/11/2016 - 22:45,Lyon,1 - 2
132,france_ligue-1/2016-2017/2016-12-11 - 22-45 Paris SG 2 - 2 Nice/,,Nice,11/12/2016 - 22:45,Paris SG,2 - 2
133,france_ligue-1/2016-2017/2016-12-17 - 19-00 Guingamp 2 - 1 Paris SG/,,Paris SG,17/12/2016 - 19:00,Guingamp,2 - 1
134,france_ligue-1/2016-2017/2016-12-21 - 22-50 Paris SG 5 - 0 Lorient/,,Lorient,21/12/2016 - 22:50,Paris SG,5 - 0
135,france_ligue-1/2016-2017/2017-01-21 - 19-00 Nantes 0 - 2 Paris SG/,,Paris SG,21/01/2017 - 19:00,Nantes,0 - 2
136,france_ligue-1/2016-2017/2017-02-10 - 22-45 Bordeaux 0 - 3 Paris SG/,,Paris SG,10/02/2017 - 22:45,Bordeaux,0 - 3
137,france_ligue-1/2016-2017/2017-02-19 - 23-00 Paris SG 0 - 0 Toulouse/,,Toulouse,19/02/2017 - 23:00,Paris SG,0 - 0
138,france_ligue-1/2016-2017/2017-02-26 - 23-00 Marseille 1 - 5 Paris SG/,,Paris SG,26/02/2017 - 23:00,Marseille,1 - 5
139,france_ligue-1/2016-2017/2017-03-12 - 23-00 Lorient 1 - 2 Paris SG/,,Paris SG,12/03/2017 - 23:00,Lorient,1 - 2
140,france_ligue-1/2016-2017/2017-03-19 - 23-00 Paris SG 2 - 1 Lyon/,,Lyon,19/03/2017 - 23:00,Paris SG,2 - 1
141,france_ligue-1/2016-2017/2017-04-14 - 21-45 Angers 0 - 2 Paris SG/,,Paris SG,14/04/2017 - 21:45,Angers,0 - 2
142,france_ligue-1/2016-2017/2017-04-18 - 19-30 Metz 2 - 3 Paris SG/,,Paris SG,18/04/2017 - 19:30,Metz,2 - 3
143,france_ligue-1/2016-2017/2017-04-22 - 18-00 Paris SG 2 - 0 Montpellier/,,Montpellier,22/04/2017 - 18:00,Paris SG,2 - 0
144,france_ligue-1/2016-2017/2017-04-30 - 22-00 Nice 3 - 1 Paris SG/,,Paris SG,30/04/2017 - 22:00,Nice,3 - 1
145,france_ligue-1/2016-2017/2017-05-06 - 18-00 Paris SG 5 - 0 Bastia/,,Bastia,06/05/2017 - 18:00,Paris SG,5 - 0
146,france_ligue-1/2016-2017/2017-05-20 - 22-00 Paris SG 1 - 1 Caen/,,Caen,20/05/2017 - 22:00,Paris SG,1 - 1
147,germany_bundesliga/2014-2015/2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich/,,Bayern Munich,21/02/2015 - 17:30,Paderborn,0 - 6
148,germany_bundesliga/2014-2015/2015-04-11 - 16-30 Bayern Munich 3 - 0 Eintracht Frankfurt/,,Eintracht Frankfurt,11/04/2015 - 16:30,Bayern Munich,3 - 0
149,germany_bundesliga/2014-2015/2015-04-25 - 16-30 Dortmund 2 - 0 Eintracht Frankfurt/,,Eintracht Frankfurt,25/04/2015 - 16:30,Dortmund,2 - 0
150,germany_bundesliga/2014-2015/2015-05-09 - 16-30 Dortmund 2 - 0 Hertha Berlin/,,Hertha Berlin,09/05/2015 - 16:30,Dortmund,2 - 0
151,germany_bundesliga/2014-2015/2015-05-16 - 16-30 Wolfsburg 2 - 1 Dortmund/,,Dortmund,16/05/2015 - 16:30,Wolfsburg,2 - 1
152,germany_bundesliga/2015-2016/2015-08-22 - 16-30 Hoffenheim 1 - 2 Bayern Munich/,,Bayern Munich,22/08/2015 - 16:30,Hoffenheim,1 - 2
153,germany_bundesliga/2015-2016/2015-08-30 - 16-30 Dortmund 3 - 1 Hertha Berlin/,,Hertha Berlin,30/08/2015 - 16:30,Dortmund,3 - 1
154,germany_bundesliga/2015-2016/2015-09-19 - 16-30 Darmstadt 0 - 3 Bayern Munich/,,Bayern Munich,19/09/2015 - 16:30,Darmstadt,0 - 3
155,germany_bundesliga/2015-2016/2015-09-22 - 21-00 Bayern Munich 5 - 1 Wolfsburg/,,Wolfsburg,22/09/2015 - 21:00,Bayern Munich,5 - 1
156,germany_bundesliga/2015-2016/2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich/,,Bayern Munich,26/09/2015 - 16:30,1. FSV Mainz 05,0 - 3
157,germany_bundesliga/2015-2016/2015-12-12 - 17-30 Bayern Munich 2 - 0 Ingolstadt/,,Ingolstadt,12/12/2015 - 17:30,Bayern Munich,2 - 0
158,germany_bundesliga/2015-2016/2016-01-31 - 19-30 Bayern Munich 2 - 0 Hoffenheim/,,Hoffenheim,31/01/2016 - 19:30,Bayern Munich,2 - 0
159,germany_bundesliga/2015-2016/2016-04-02 - 16-30 Bayern Munich 1 - 0 Eintracht Frankfurt/,,Eintracht Frankfurt,02/04/2016 - 16:30,Bayern Munich,1 - 0
160,germany_bundesliga/2015-2016/2016-04-09 - 16-30 VfB Stuttgart 1 - 3 Bayern Munich/,,Bayern Munich,09/04/2016 - 16:30,VfB Stuttgart,1 - 3
161,germany_bundesliga/2015-2016/2016-04-16 - 19-30 Bayern Munich 3 - 0 Schalke/,,Schalke,16/04/2016 - 19:30,Bayern Munich,3 - 0
162,germany_bundesliga/2016-2017/2016-09-17 - 16-30 Dortmund 6 - 0 Darmstadt/,,Darmstadt,17/09/2016 - 16:30,Dortmund,6 - 0
163,germany_bundesliga/2016-2017/2016-09-20 - 21-00 Wolfsburg 1 - 5 Dortmund/,,Dortmund,20/09/2016 - 21:00,Wolfsburg,1 - 5
164,germany_bundesliga/2016-2017/2016-09-23 - 21-30 Dortmund 3 - 1 SC Freiburg/,,SC Freiburg,23/09/2016 - 21:30,Dortmund,3 - 1
165,germany_bundesliga/2016-2017/2016-10-14 - 21-30 Dortmund 1 - 1 Hertha Berlin/,,Hertha Berlin,14/10/2016 - 21:30,Dortmund,1 - 1
166,germany_bundesliga/2016-2017/2016-10-22 - 16-30 Ingolstadt 3 - 3 Dortmund/,,Dortmund,22/10/2016 - 16:30,Ingolstadt,3 - 3
167,germany_bundesliga/2016-2017/2016-10-29 - 19-30 Dortmund 0 - 0 Schalke/,,Schalke,29/10/2016 - 19:30,Dortmund,0 - 0
