game_index,gameTime,label,position,team,visibility
0,1 - 36:49,Ball out of play,2209538,not applicable,visible
0,1 - 38:17,Throw-in,2297691,home,visible
0,1 - 38:54,Ball out of play,2334637,not applicable,visible
0,1 - 39:04,Throw-in,2344671,home,visible
0,1 - 39:07,Foul,2347988,away,visible
0,1 - 39:21,Foul,2361606,away,visible
0,1 - 40:00,Foul,2400217,away,visible
0,1 - 40:08,Yellow card,2408272,away,visible
0,1 - 40:33,Ball out of play,2433890,not applicable,visible
0,1 - 40:40,Throw-in,2440028,home,visible
0,1 - 42:06,Ball out of play,2526933,not applicable,visible
0,1 - 42:25,Corner,2545244,home,visible
0,1 - 43:24,Ball out of play,2604792,not applicable,visible
0,1 - 43:26,Throw-in,2606857,home,visible
0,1 - 44:14,Ball out of play,2654007,not applicable,visible
0,1 - 44:49,Clearance,2689819,away,visible
0,2 - 00:00,Kick-off,486,home,visible
0,2 - 00:27,Ball out of play,27902,not applicable,visible
0,2 - 00:41,Throw-in,41893,home,not shown
0,2 - 00:57,Foul,57211,home,visible
0,2 - 01:42,Ball out of play,102346,not applicable,visible
0,2 - 02:15,Clearance,135028,away,visible
0,2 - 02:51,Ball out of play,171566,not applicable,visible
0,2 - 03:13,Clearance,193479,away,visible
0,2 - 03:26,Foul,206821,home,visible
0,2 - 04:51,Indirect free-kick,291842,away,visible
0,2 - 04:56,Shots on target,296565,away,visible
0,2 - 04:57,Ball out of play,297654,not applicable,visible
0,2 - 05:26,Corner,326220,away,visible
0,2 - 05:41,Ball out of play,341184,not applicable,visible
0,2 - 05:55,Throw-in,355650,home,visible
0,2 - 05:59,Shots off target,359887,home,visible
0,2 - 06:30,Clearance,390278,away,visible
0,2 - 07:10,Ball out of play,430765,not applicable,visible
0,2 - 07:29,Corner,449261,home,visible
0,2 - 07:33,Ball out of play,453288,not applicable,visible
0,2 - 08:05,Clearance,485577,away,visible
0,2 - 08:16,Ball out of play,496588,not applicable,visible
0,2 - 08:24,Throw-in,504093,away,not shown
0,2 - 09:19,Shots on target,559844,home,visible
0,2 - 09:46,Foul,586179,home,visible
0,2 - 10:21,Direct free-kick,621054,away,visible
0,2 - 10:33,Foul,633797,away,visible
0,2 - 12:30,Ball out of play,750241,not applicable,visible
0,2 - 13:03,Clearance,783447,away,visible
0,2 - 13:06,Foul,786939,home,visible
0,2 - 13:38,Ball out of play,818294,not applicable,visible
0,2 - 14:02,Clearance,842448,home,not shown
0,2 - 14:32,Ball out of play,872076,not applicable,visible
0,2 - 14:48,Throw-in,888902,away,not shown
0,2 - 16:52,Foul,1012564,home,visible
0,2 - 17:01,Yellow card,1021784,away,visible
0,2 - 17:19,Substitution,1039084,home,visible
0,2 - 19:12,Ball out of play,1152742,not applicable,visible
0,2 - 19:32,Throw-in,1172259,home,not shown
0,2 - 20:42,Ball out of play,1242701,not applicable,visible
0,2 - 21:04,Corner,1264588,home,visible
0,2 - 22:04,Shots on target,1324332,home,visible
0,2 - 23:09,Ball out of play,1389294,not applicable,visible
0,2 - 23:28,Throw-in,1408794,away,not shown
0,2 - 23:54,Ball out of play,1434517,not applicable,visible
0,2 - 24:00,Throw-in,1440707,away,not shown
0,2 - 24:06,Ball out of play,1446289,not applicable,visible
0,2 - 24:25,Red card,1465198,home,visible
0,2 - 25:05,Yellow card,1505668,home,visible
0,2 - 26:10,Substitution,1570785,home,visible
0,2 - 26:25,Throw-in,1585217,away,visible
0,2 - 27:02,Ball out of play,1622925,not applicable,visible
0,2 - 27:18,Throw-in,1638681,home,not shown
0,2 - 27:26,Ball out of play,1646957,not applicable,visible
0,2 - 27:37,Throw-in,1657514,away,visible
0,2 - 28:06,Foul,1686678,home,visible
0,2 - 28:37,Offside,1717544,home,visible
0,2 - 29:00,Ball out of play,1740719,not applicable,visible
0,2 - 29:23,Clearance,1763963,home,visible
0,2 - 29:35,Ball out of play,1775864,not applicable,visible
0,2 - 29:48,Throw-in,1788487,away,visible
0,2 - 30:06,Ball out of play,1806804,not applicable,visible
0,2 - 30:22,Throw-in,1822011,away,visible
0,2 - 30:44,Shots off target,1844453,away,visible
0,2 - 31:09,Clearance,1869533,home,not shown
0,2 - 32:57,Shots off target,1977324,home,visible
0,2 - 33:25,Substitution,2005243,away,visible
0,2 - 33:28,Clearance,2008262,away,not shown
0,2 - 34:03,Ball out of play,2043985,not applicable,visible
0,2 - 34:29,Corner,2069628,away,visible
0,2 - 34:36,Shots on target,2076405,away,visible
0,2 - 34:38,Ball out of play,2078453,not applicable,visible
0,2 - 35:19,Corner,2119036,away,visible
0,2 - 35:21,Goal,2121494,away,visible
0,2 - 36:17,Kick-off,2177763,home,visible
0,2 - 36:43,Ball out of play,2203513,not applicable,visible
0,2 - 36:46,Throw-in,2206804,home,visible
0,2 - 37:15,Ball out of play,2235112,not applicable,visible
0,2 - 37:32,Throw-in,2252657,away,not shown
0,2 - 39:28,Ball out of play,2368124,not applicable,visible
0,2 - 39:54,Substitution,2394439,home,visible
0,2 - 40:16,Corner,2416027,away,visible
0,2 - 40:20,Ball out of play,2420030,not applicable,visible
0,2 - 40:39,Throw-in,2439981,away,visible
0,2 - 41:37,Ball out of play,2497519,not applicable,visible
0,2 - 42:04,Throw-in,2524800,away,visible
0,2 - 42:11,Ball out of play,2531658,not applicable,visible
0,2 - 42:26,Clearance,2546851,home,visible
0,2 - 43:04,Ball out of play,2584747,not applicable,visible
0,2 - 43:05,Throw-in,2585400,home,not shown
0,2 - 43:21,Shots off target,2601547,home,visible
0,2 - 43:59,Clearance,2639893,away,visible
0,2 - 44:42,Ball out of play,2682616,not applicable,visible
1,1 - 00:00,Kick-off,0,away,visible
1,1 - 00:19,Ball out of play,19192,not applicable,visible
1,1 - 00:33,Throw-in,33487,home,not shown
1,1 - 00:36,Ball out of play,36795,not applicable,visible
1,1 - 00:47,Throw-in,47415,away,visible
1,1 - 01:04,Ball out of play,64134,not applicable,visible
1,1 - 01:19,Throw-in,79888,home,visible
1,1 - 01:46,Ball out of play,106379,not applicable,visible
1,1 - 02:00,Throw-in,120400,away,visible
1,1 - 02:47,Offside,167221,away,visible
1,1 - 03:29,Ball out of play,209229,not applicable,visible
1,1 - 03:39,Throw-in,219923,home,visible
1,1 - 03:44,Foul,224572,away,visible
1,1 - 04:26,Indirect free-kick,266066,home,visible
1,1 - 04:33,Shots off target,273949,home,visible
1,1 - 04:53,Throw-in,293454,away,not shown
1,1 - 05:02,Ball out of play,302745,not applicable,visible
1,1 - 05:12,Throw-in,312195,home,visible
1,1 - 05:21,Foul,321660,home,visible
1,1 - 06:19,Foul,379202,home,visible
1,1 - 07:05,Penalty,425896,away,visible
1,1 - 07:06,Goal,426646,away,visible
1,1 - 07:49,Kick-off,469438,home,visible
1,1 - 09:03,Ball out of play,543266,not applicable,visible
1,1 - 09:28,Corner,568917,home,visible
1,1 - 10:13,Foul,613484,away,visible
1,1 - 10:55,Indirect free-kick,655112,home,visible
1,1 - 11:22,Ball out of play,682332,not applicable,visible
1,1 - 11:32,Throw-in,692582,away,not shown
1,1 - 11:37,Ball out of play,697992,not applicable,visible
1,1 - 11:46,Throw-in,706629,away,visible
1,1 - 12:06,Ball out of play,726760,not applicable,visible
1,1 - 12:37,Clearance,757365,away,visible
1,1 - 13:02,Ball out of play,782989,not applicable,visible
1,1 - 13:15,Throw-in,795338,home,visible
1,1 - 14:00,Ball out of play,840523,not applicable,visible
1,1 - 14:06,Throw-in,846278,home,visible
1,1 - 14:21,Ball out of play,861193,not applicable,visible
1,1 - 14:48,Clearance,888208,away,not shown
1,1 - 15:10,Ball out of play,910849,not applicable,visible
1,1 - 15:22,Throw-in,922987,away,visible
1,1 - 16:39,Ball out of play,999054,not applicable,visible
1,1 - 16:43,Throw-in,1003752,home,visible
1,1 - 17:24,Ball out of play,1044200,not applicable,visible
1,1 - 17:47,Throw-in,1067978,home,visible
1,1 - 18:29,Foul,1109028,home,visible
1,1 - 18:34,Yellow card,1114081,home,visible
1,1 - 19:21,Ball out of play,1161551,not applicable,visible
1,1 - 19:37,Throw-in,1177110,away,not shown
1,1 - 20:13,Ball out of play,1213036,not applicable,visible
1,1 - 20:45,Corner,1245187,away,visible
1,1 - 20:47,Shots off target,1247507,away,visible
1,1 - 21:23,Clearance,1283179,home,visible
1,1 - 21:41,Foul,1301318,away,visible
1,1 - 22:03,Foul,1323360,home,visible
1,1 - 22:36,Ball out of play,1356450,not applicable,visible
1,1 - 22:47,Throw-in,1367543,away,visible
1,1 - 23:22,Ball out of play,1402627,not applicable,visible
1,1 - 23:30,Throw-in,1410295,away,visible
1,1 - 23:59,Ball out of play,1439938,not applicable,visible
1,1 - 24:32,Clearance,1472760,away,visible
1,1 - 24:40,Ball out of play,1480016,not applicable,visible
1,1 - 24:54,Throw-in,1494944,home,visible
1,1 - 25:09,Ball out of play,1509282,not applicable,visible
1,1 - 25:13,Throw-in,1513909,home,visible
1,1 - 25:28,Foul,1528829,away,visible
1,1 - 26:06,Direct free-kick,1566993,home,visible
1,1 - 26:08,Ball out of play,1568329,not applicable,visible
1,1 - 26:38,Clearance,1598581,away,not shown
1,1 - 26:54,Foul,1614148,home,visible
1,1 - 27:39,Foul,1659709,away,visible
1,1 - 27:44,Yellow card,1664885,away,visible
1,1 - 28:17,Direct free-kick,1697648,home,visible
1,1 - 28:53,Ball out of play,1733851,not applicable,visible
1,1 - 28:58,Throw-in,1738922,home,visible
1,1 - 29:07,Ball out of play,1747895,not applicable,visible
1,1 - 29:21,Throw-in,1761604,away,visible
1,1 - 30:01,Foul,1801087,away,visible
1,1 - 31:36,Shots on target,1896693,away,visible
1,1 - 31:50,Ball out of play,1910704,not applicable,visible
1,1 - 32:04,Throw-in,1924551,home,not shown
1,1 - 32:38,Offside,1958424,home,visible
1,1 - 33:41,Foul,2021468,home,visible
1,1 - 34:15,Ball out of play,2055672,not applicable,visible
1,1 - 34:29,Throw-in,2069855,away,visible
1,1 - 34:56,Ball out of play,2096032,not applicable,visible
1,1 - 35:04,Throw-in,2104489,home,not shown
1,1 - 35:24,Ball out of play,2124068,not applicable,visible
1,1 - 35:35,Throw-in,2135182,away,not shown
1,1 - 35:46,Foul,2146186,away,visible
1,1 - 36:38,Foul,2198508,home,visible
1,1 - 37:26,Indirect free-kick,2246366,away,visible
1,1 - 37:51,Ball out of play,2271938,not applicable,visible
1,1 - 38:01,Throw-in,2281442,home,visible
1,1 - 39:21,Ball out of play,2361639,not applicable,visible
1,1 - 39:31,Throw-in,2371008,away,visible
1,1 - 39:33,Ball out of play,2373923,not applicable,visible
1,1 - 39:48,Throw-in,2388475,away,not shown
1,1 - 40:41,Offside,2441980,away,visible
1,1 - 41:35,Ball out of play,2495625,not applicable,visible
1,1 - 42:04,Corner,2524091,home,not shown
1,1 - 42:36,Ball out of play,2556143,not applicable,visible
1,1 - 42:55,Throw-in,2575870,away,visible
1,1 - 43:06,Ball out of play,2586546,not applicable,visible
1,1 - 43:14,Throw-in,2594241,away,visible
1,1 - 43:26,Ball out of play,2606561,not applicable,visible
1,1 - 43:43,Throw-in,2623816,away,not shown
1,1 - 43:49,Ball out of play,2629054,not applicable,visible
1,1 - 43:54,Throw-in,2634310,away,visible
1,1 - 44:23,Ball out of play,2663446,not applicable,visible
1,1 - 44:51,Clearance,2691667,away,not shown
1,1 - 45:08,Goal,2708042,away,visible
1,1 - 45:59,Kick-off,2759993,home,not shown
1,2 - 00:00,Kick-off,192,home,visible
1,2 - 00:16,Ball out of play,16419,not applicable,visible
1,2 - 00:28,Throw-in,28398,away,visible
1,2 - 00:54,Offside,54705,home,visible
1,2 - 01:44,Ball out of play,104966,not applicable,visible
1,2 - 02:09,Corner,129104,home,not shown
1,2 - 02:21,Ball out of play,141634,not applicable,visible
1,2 - 02:40,Corner,160410,home,visible
1,2 - 02:46,Ball out of play,166169,not applicable,visible
1,2 - 03:06,Corner,186226,home,visible
1,2 - 03:10,Ball out of play,190272,not applicable,visible
1,2 - 03:34,Clearance,214096,away,visible
1,2 - 04:09,Ball out of play,249957,not applicable,visible
1,2 - 04:11,Throw-in,251826,home,visible
1,2 - 04:38,Ball out of play,278830,not applicable,visible
1,2 - 04:50,Throw-in,290633,away,not shown
1,2 - 04:58,Ball out of play,298760,not applicable,visible
1,2 - 05:06,Throw-in,306066,away,visible
1,2 - 05:45,Ball out of play,345613,not applicable,visible
1,2 - 06:16,Clearance,376270,home,visible
1,2 - 06:24,Foul,384621,home,visible
1,2 - 07:14,Ball out of play,434462,not applicable,visible
1,2 - 07:44,Corner,464346,home,visible
1,2 - 08:03,Ball out of play,483812,not applicable,visible
1,2 - 08:29,Clearance,509718,away,not shown
1,2 - 08:46,Ball out of play,526681,not applicable,visible
1,2 - 08:52,Throw-in,532928,home,visible
1,2 - 09:10,Ball out of play,550915,not applicable,visible
1,2 - 09:29,Throw-in,569241,home,visible
1,2 - 09:42,Ball out of play,582608,not applicable,visible
1,2 - 10:11,Corner,611100,home,visible
1,2 - 10:19,Foul,619284,away,visible
1,2 - 10:24,Yellow card,624992,away,visible
1,2 - 10:53,Indirect free-kick,653077,home,visible
1,2 - 11:15,Shots off target,675503,away,visible
1,2 - 12:02,Substitution,722375,home,not shown
1,2 - 12:02,Clearance,722865,home,not shown
1,2 - 12:20,Offside,740963,away,visible
1,2 - 12:53,Ball out of play,773404,not applicable,visible
1,2 - 13:00,Throw-in,780893,home,not shown
1,2 - 13:12,Foul,792422,home,visible
1,2 - 14:59,Shots on target,899982,away,visible
1,2 - 15:43,Ball out of play,943737,not applicable,visible
1,2 - 16:00,Throw-in,960741,home,visible
1,2 - 16:17,Foul,977325,away,visible
1,2 - 18:23,Ball out of play,1103774,not applicable,visible
1,2 - 20:24,Clearance,1224026,away,visible
1,2 - 21:27,Ball out of play,1287148,not applicable,visible
1,2 - 21:52,Clearance,1312541,away,not shown
1,2 - 22:04,Ball out of play,1324017,not applicable,visible
1,2 - 22:09,Throw-in,1329812,home,visible
1,2 - 22:16,Foul,1336819,home,visible
1,2 - 23:38,Ball out of play,1418610,not applicable,visible
1,2 - 23:42,Throw-in,1422591,home,visible
1,2 - 24:05,Shots off target,1445872,home,visible
1,2 - 24:34,Clearance,1474316,away,not shown
1,2 - 25:00,Ball out of play,1500648,not applicable,visible
1,2 - 25:24,Clearance,1524910,away,visible
1,2 - 25:30,Ball out of play,1530346,not applicable,visible
1,2 - 25:35,Throw-in,1535146,home,visible
1,2 - 26:07,Ball out of play,1567248,not applicable,visible
1,2 - 26:14,Throw-in,1574777,home,visible
1,2 - 26:20,Ball out of play,1580193,not applicable,visible
1,2 - 26:23,Throw-in,1583702,home,visible
1,2 - 26:34,Ball out of play,1594226,not applicable,visible
1,2 - 26:52,Corner,1612414,home,visible
1,2 - 27:11,Ball out of play,1631598,not applicable,visible
1,2 - 27:31,Throw-in,1651630,home,not shown
1,2 - 28:16,Foul,1696063,away,visible
1,2 - 29:11,Direct free-kick,1751580,home,visible
1,2 - 29:12,Ball out of play,1752893,not applicable,visible
1,2 - 29:38,Clearance,1778956,away,not shown
1,2 - 29:55,Foul,1795205,home,visible
1,2 - 30:40,Substitution,1840261,away,visible
1,2 - 31:03,Substitution,1863802,away,visible
1,2 - 31:41,Foul,1901919,away,visible
1,2 - 32:11,Indirect free-kick,1931893,home,visible
1,2 - 32:15,Ball out of play,1935340,not applicable,visible
1,2 - 32:30,Throw-in,1950080,home,visible
1,2 - 33:05,Foul,1985148,away,visible
1,2 - 33:47,Substitution,2027653,home,visible
1,2 - 34:11,Substitution,2051357,home,visible
1,2 - 35:21,Ball out of play,2121297,not applicable,visible
1,2 - 35:30,Throw-in,2130368,home,not shown
1,2 - 35:54,Foul,2154655,home,visible
1,2 - 36:24,Ball out of play,2184964,not applicable,visible
1,2 - 36:29,Throw-in,2189053,away,visible
1,2 - 36:42,Ball out of play,2202466,not applicable,visible
1,2 - 36:52,Throw-in,2212787,home,visible
1,2 - 37:37,Shots on target,2257603,home,visible
1,2 - 38:53,Ball out of play,2333161,not applicable,visible
1,2 - 39:07,Yellow card,2347003,away,not shown
1,2 - 40:04,Throw-in,2404031,home,visible
1,2 - 40:30,Foul,2430138,home,visible
1,2 - 40:55,Shots on target,2455749,away,visible
1,2 - 41:09,Ball out of play,2469004,not applicable,visible
1,2 - 41:36,Corner,2496046,home,visible
1,2 - 41:55,Shots on target,2515509,home,visible
1,2 - 42:08,Ball out of play,2528629,not applicable,visible
1,2 - 42:18,Throw-in,2538101,away,visible
1,2 - 42:20,Ball out of play,2540242,not applicable,visible
1,2 - 42:24,Throw-in,2544471,away,visible
1,2 - 42:51,Foul,2571731,home,visible
1,2 - 42:54,Ball out of play,2574664,not applicable,visible
1,2 - 43:34,Substitution,2614753,away,visible
1,2 - 43:46,Indirect free-kick,2626328,away,visible
1,2 - 43:58,Foul,2638870,away,visible
1,2 - 44:36,Ball out of play,2676899,not applicable,visible
1,2 - 45:00,Clearance,2700474,away,not shown
1,2 - 45:09,Ball out of play,2709579,not applicable,visible
1,2 - 45:16,Throw-in,2716985,home,visible
1,2 - 45:31,Ball out of play,2731984,not applicable,visible
1,2 - 45:43,Throw-in,2743429,home,visible
1,2 - 45:48,Ball out of play,2748353,not applicable,visible
1,2 - 45:51,Throw-in,2751790,home,visible
1,2 - 46:05,Ball out of play,2765512,not applicable,visible
1,2 - 46:26,Clearance,2786892,away,not shown
1,2 - 46:35,Ball out of play,2795494,not applicable,visible
1,2 - 46:39,Throw-in,2799409,home,visible
1,2 - 47:06,Shots on target,2826007,home,visible
1,2 - 48:05,Ball out of play,2885060,not applicable,visible
1,2 - 48:26,Corner,2906945,home,visible
1,2 - 48:33,Goal,2913948,home,visible
1,2 - 49:18,Kick-off,2958773,away,not shown
2,1 - 00:00,Kick-off,0,away,visible
2,1 - 00:58,Foul,58603,away,visible
2,1 - 01:44,Ball out of play,104518,not applicable,visible
2,1 - 01:59,Throw-in,119463,away,visible
2,1 - 02:43,Foul,163426,away,visible
2,1 - 03:41,Ball out of play,221652,not applicable,visible
2,1 - 04:14,Corner,254201,home,visible
2,1 - 04:15,Shots on target,255710,home,visible
2,1 - 04:45,Ball out of play,285332,not applicable,visible
2,1 - 04:55,Throw-in,295644,away,visible
2,1 - 05:01,Ball out of play,301085,not applicable,visible
2,1 - 05:14,Throw-in,314951,home,not shown
2,1 - 05:28,Ball out of play,328238,not applicable,visible
2,1 - 05:40,Throw-in,340850,home,visible
2,1 - 06:35,Ball out of play,395428,not applicable,visible
2,1 - 06:52,Throw-in,412761,away,visible
2,1 - 07:06,Shots off target,426712,away,visible
2,1 - 07:35,Clearance,455836,home,not shown
2,1 - 08:04,Ball out of play,484707,not applicable,visible
2,1 - 08:21,Throw-in,501314,away,not shown
2,1 - 08:39,Ball out of play,519458,not applicable,visible
2,1 - 08:47,Throw-in,527917,home,visible
2,1 - 09:01,Ball out of play,541119,not applicable,visible
2,1 - 09:23,Throw-in,563052,home,visible
2,1 - 09:39,Ball out of play,579997,not applicable,visible
2,1 - 10:11,Corner,611018,home,visible
2,1 - 10:13,Shots off target,613167,home,visible
2,1 - 13:58,Foul,838766,home,visible
2,1 - 14:54,Indirect free-kick,894834,away,visible
2,1 - 14:59,Shots off target,899204,away,visible
2,1 - 15:22,Throw-in,922093,home,not shown
2,1 - 16:02,Ball out of play,962279,not applicable,visible
2,1 - 16:08,Throw-in,968099,home,visible
2,1 - 16:18,Shots on target,978613,home,visible
2,1 - 16:42,Foul,1002034,away,visible
2,1 - 17:30,Ball out of play,1050602,not applicable,visible
2,1 - 17:45,Throw-in,1065614,home,visible
2,1 - 18:08,Ball out of play,1088752,not applicable,visible
2,1 - 18:28,Throw-in,1108989,home,visible
2,1 - 19:00,Ball out of play,1140672,not applicable,visible
2,1 - 19:07,Throw-in,1147075,home,visible
2,1 - 19:50,Shots on target,1190676,away,visible
2,1 - 20:16,Ball out of play,1216306,not applicable,visible
2,1 - 20:52,Corner,1252550,home,visible
2,1 - 21:06,Ball out of play,1266939,not applicable,visible
2,1 - 21:33,Clearance,1293216,away,visible
2,1 - 22:34,Foul,1354134,away,visible
2,1 - 26:15,Shots off target,1575527,away,visible
2,1 - 26:54,Clearance,1614979,home,visible
2,1 - 27:03,Ball out of play,1623804,not applicable,visible
2,1 - 27:14,Throw-in,1634384,away,visible
2,1 - 27:36,Goal,1656477,away,visible
2,1 - 28:33,Kick-off,1713942,home,not shown
2,1 - 29:09,Ball out of play,1749981,not applicable,visible
2,1 - 29:26,Throw-in,1766340,home,visible
2,1 - 29:32,Goal,1772491,home,visible
2,1 - 30:18,Kick-off,1818920,away,not shown
2,1 - 30:53,Offside,1853098,home,visible
2,1 - 31:29,Ball out of play,1889781,not applicable,visible
2,1 - 31:43,Throw-in,1903224,home,visible
2,1 - 31:49,Foul,1909677,away,visible
2,1 - 32:47,Ball out of play,1967997,not applicable,visible
2,1 - 33:02,Throw-in,1982056,away,visible
2,1 - 33:07,Shots off target,1987444,away,visible
2,1 - 34:02,Ball out of play,2042942,not applicable,visible
2,1 - 34:18,Throw-in,2058708,home,visible
2,1 - 34:21,Ball out of play,2061148,not applicable,visible
2,1 - 34:32,Throw-in,2072979,away,visible
2,1 - 37:29,Foul,2249698,away,visible
2,1 - 38:58,Shots off target,2338688,away,visible
2,1 - 39:32,Clearance,2372797,home,not shown
2,1 - 40:26,Ball out of play,2426184,not applicable,visible
2,1 - 41:02,Clearance,2462301,home,not shown
2,1 - 41:10,Offside,2470062,home,visible
2,1 - 42:51,Ball out of play,2571269,not applicable,visible
2,1 - 43:20,Corner,2600455,away,visible
2,1 - 44:14,Foul,2654740,away,visible
2,1 - 44:25,Yellow card,2665881,away,visible
2,1 - 45:14,Foul,2714658,away,visible
2,2 - 00:00,Kick-off,24,home,not shown
2,2 - 00:29,Substitution,29229,away,not shown
2,2 - 01:08,Offside,68580,home,visible
2,2 - 02:31,Foul,151472,away,visible
2,2 - 02:44,Yellow card,164238,away,visible
2,2 - 03:27,Ball out of play,207347,not applicable,visible
2,2 - 03:55,Clearance,235814,away,visible
2,2 - 04:22,Ball out of play,262674,not applicable,visible
2,2 - 04:48,Corner,288499,away,visible
2,2 - 06:00,Ball out of play,360055,not applicable,visible
2,2 - 06:03,Throw-in,363470,away,visible
2,2 - 07:15,Ball out of play,435891,not applicable,visible
2,2 - 07:25,Throw-in,445031,away,visible
2,2 - 07:32,Ball out of play,452429,not applicable,visible
2,2 - 07:51,Throw-in,471176,home,not shown
2,2 - 08:27,Ball out of play,507496,not applicable,visible
2,2 - 08:52,Corner,532470,away,visible
2,2 - 08:55,Ball out of play,535608,not applicable,visible
2,2 - 09:24,Corner,564393,away,visible
2,2 - 10:43,Ball out of play,643610,not applicable,visible
2,2 - 10:53,Throw-in,653307,home,visible
2,2 - 10:58,Foul,658262,away,visible
2,2 - 12:38,Ball out of play,758115,not applicable,visible
2,2 - 12:55,Substitution,775056,away,visible
2,2 - 13:15,Clearance,795004,home,visible
2,2 - 14:17,Shots off target,857251,away,visible
2,2 - 14:48,Clearance,888411,home,visible
2,2 - 15:02,Ball out of play,902259,not applicable,visible
2,2 - 15:20,Throw-in,920962,home,visible
2,2 - 15:25,Ball out of play,925153,not applicable,visible
2,2 - 15:36,Throw-in,936303,home,visible
2,2 - 17:30,Ball out of play,1050076,not applicable,visible
2,2 - 17:53,Corner,1073255,away,visible
2,2 - 17:59,Offside,1079187,away,visible
2,2 - 19:28,Ball out of play,1168130,not applicable,visible
2,2 - 19:48,Corner,1188974,away,visible
2,2 - 19:50,Shots off target,1190491,away,visible
2,2 - 20:20,Clearance,1220526,home,visible
2,2 - 20:48,Ball out of play,1248367,not applicable,visible
